title,filmtype,director,rating,duration,year,genre
A Man for All Seasons,Movie,Fred Zinnemann,7.9,120,1966,Biography/Drama/History
A Matter of Loaf and Death,Short,Nick Park,7.6,30,2008,Animation/Comedy/Family
A Mighty Heart,Movie,Michael Winterbottom,6.6,108,2007,Biography/Thriller/Drama
A Mighty Wind,Movie,Christopher Guest,7.1,91,2003,Comedy/Music
A Moment of Innocence,Movie,Mohsen Makhmalbaf,7.6,78,1996,Comedy/Drama
A Night at the Opera,Movie,Sam Wood,7.9,96,1935,Comedy/Musical/Drama
A Nightmare on Elm Street,Movie,Wes Craven,7.5,91,1984,Horror
A Nightmare on Elm Street Part 2: Freddy's Revenge,Movie,Jack Sholder,5.3,87,1985,Horror
À Nous la Liberté,Movie,René Clair,7.6,104,1931,Comedy/Musical
A Passage to India,Movie,David Lean,7.3,164,1984,Adventure/Drama/History
A Perfect Getaway,Movie,David Twohy,6.4,98,2009,Adventure
A Place in the Sun,Movie,George Stevens,7.7,122,1951,Romance
A Prophet,Movie,Jacques Audiard,7.9,155,2009,Crime
A Question of Silence ,Movie,Marleen Gorris,6.6,92,1982,Drama
A Raisin in the Sun,Movie,Daniel Petrie,7.8,128,1961,Drama
A Road Not Taken,Documentary,Christina Hemauer & Roman Keller,7.9,66,2010,Documentary
A Room with a View,Movie,James Ivory,7.3,117,1985,Drama
A Royal Affair,Movie,Nikolaj Arcel,7.5,137,2012,Drama
A Scanner Darkly,Movie,Richard Linklater,7,100,2006,Animation
A Separation,Movie,Asghar Farhadi,8.5,123,2011,Drama
A Serious Man,Movie,Ethan Coen & Joel Coen,7,106,2009,Comedy
A Simple Life,Movie,Ann Hui,7.6,118,2011,Drama
A Single Man,Movie,Tom Ford,7.5,99,2009,Drama
A Song of Love (Un chant d'amour),Short,Jean Genet,7.5,26,1950,Fantasy
A Star Is Born,Movie,George Cukor,7.7,154,1954,Drama
A Streetcar Named Desire,Movie,Elia Kazan,8,122,1951,Drama
A Tale of Two Sisters,Movie,Kim Jee-woon,7.2,115,2003,Drama
A Tale of Winter,Movie,Eric Rohmer,7.2,114,1992,Drama
A Thief in the Night,Movie,Donald W. Thompson,4.8,69,1972,Drama
A Throw of Dice,Movie,Franz Osten,6.7,74,1929,Adventure
A Touch of Sin,Movie,Zhangke Jia,7.2,133,2013,Drama
A Touch of Zen,Movie,King Hu,7.5,200,1971,Adventure
A Trip to the Moon,Short,Georges Méliès,8.2,13,1902,Adventure
A View to a Kill,Movie,John Glen,6.3,131,1985,Action
A World Apart,Movie,Chris Menges,6.8,112,1988,Drama
